Abstract #,Paper title,Authors,Presentation date,Presentation time,Actual time,Session name,Session chair,Room number,Award (hon mention or best paper)
948,Table Cell Search for Question Answering,"Huan Sun, Hao Ma, Xiaodong He, Wen-Tau Yih, Yu Su and Xifeng Yan.",Thursday,16:00 - 17:30,16:00-16:22,Track 18: Web Search Systems & Applications (2),,,
724,Identifying Web Queries with Question Intent,"David Carmel, Yuval Pinter, Idan Szpektor and Gilad Tsur.",Thursday,,16:22-16:45,Track 18: Web Search Systems & Applications (2),,,
351,Language Models for Long Documents and Queries in Information Retrieval,Ronan Cummins.,Thursday,,16:45-17:07,Track 18: Web Search Systems & Applications (2),,,
595,Effective Construction of Relative Lempel-Ziv Dictionaries,"Kewen Liao, Matthias Petri, Alistair Moffat and Anthony Wirth.",Thursday,,17:07-17:30,Track 18: Web Search Systems & Applications (2),,,
910,Just in Time: Controlling Temporal Performance in Crowdsourcing Competitions,"Markus Rokicki, Sergej Zerr and Stefan Siersdorfer.",Thursday,16:00 - 17:30,16:00-16:22,Track 19: Crowdsourcing Systems & Social Media (2),,,
970,Evolution of effort and activity in online communities from a cohort perspective,"Samuel Martins Barbosa Neto, Dan Cosley, Amit Sharma and Roberto Cesar.",Thursday,,16:22-16:45,Track 19: Crowdsourcing Systems & Social Media (2),,,
863,Using Hierarchical Skills for Optimized Task Assignment in Knowledge-intensive Crowdsourcing,"Panagiotis Mavridis, David Gross-Amblard and Zoltan Miklos.",Thursday,,16:45-17:07,Track 19: Crowdsourcing Systems & Social Media (2),,,
504,Scheduling Human Intelligence Tasks in Multi-Tenant Crowd-Powered Systems,"Djellel Eddine Difallah, Gianluca Demartini and Philippe Cudre-Mauroux.",Thursday,,17:07-17:30,Track 19: Crowdsourcing Systems & Social Media (2),,,
431,MapWatch: Detecting and Monitoring International Border Personalization on Online Maps,"Gary Soeller, Karrie Karahalios, Christian Sandvig and Christo Wilson.",Thursday,16:00 - 17:30,16:00-16:22,Track 20: Web Science (2),,,
322,What links Alice and Bob? Matching and Ranking Semantic Patterns in Heterogeneous Networks,"Jiongqian Liang, Deepak Ajwani, Patrick Nicholson, Alessandra Sala and Srinivasan Parthasarathy.",Thursday,,16:22-16:45,Track 20: Web Science (2),,,
202,An Empirical Study of Web Cookies,"Aaron Cahn, Scott Alfeld, Paul Barford and S. Muthukrishnan.",Thursday,,16:45-17:07,Track 20: Web Science (2),,,
439,From Social Machines to Social Protocols: Software Engineering Foundations for Sociotechnical Systems,Amit Chopra and Munindar P. Singh.,Thursday,,17:07-17:30,Track 20: Web Science (2),,,
715,As Time Goes By: Comprehensive Tagging of Textual Phrases with Temporal Scopes,"Erdal Kuzey, Vinay Setty, Gerhard Weikum and Jannik Strotgen.",Friday,11:00 - 12:30,11:00-11:30,Track 21: Semantics & Big Data (2),,,
200,Probabilistic Bag-of-Hyperlinks Model for Entity Linking,"Octavian-Eugen Ganea, Marina Horlescu, Aurelien Lucchi, Carsten Eickhoff and Thomas Hofmann.",Friday,,11:30-12:00,Track 21: Semantics & Big Data (2),,,
450,Discovering Structure in the Universe of Attribute Names,"Alon Halevy, Sunita Sarawagi, Steven Whang, Xiao Yu and Natalya Noy. ",Friday,,12:00-12:30,Track 21: Semantics & Big Data (2),,,
1085,Modeling User Exposure in Recommendation,"Dawen Liang, Laurent Charlin, James McInerney and David Blei.",Friday,11:00 - 12:30,11:00-11:22,Track 22: Behaviour Analysis & Personalization (3),,,
468,On the Relevance of Irrelevant Alternatives,"Austin Benson, Ravi Kumar and Andrew Tomkins.",Friday,,11:22-11:45,Track 22: Behaviour Analysis & Personalization (3),,,
